colour_id	divergences
2118.0300	info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2118.4100	color_name: XLS[Lilac] DB[Lila Leer & Lila Fantasie Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2118K.4100	color_name: XLS[Lilac] DB[Lila Leer & Lila Fantasie Combi]
2118.4302	color_name: XLS[Green] DB[Kaki Nubuck] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2118K.4302	color_name: XLS[Green] DB[Groen Nubuck]
2118.5602	color_name: XLS[Dark Blue] DB[Blauw Nubuck & Blauw Leer] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2118K.5602	color_name: XLS[Dark Blue] DB[Blauw Nubuck & Blauw Leer]
2118.5900	color_name: XLS[Mint] DB[Mint Leer & Turquoise Fantasie Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2118K.5900	color_name: XLS[Mint] DB[Mint Leer & Turquoise Fantasie Combi]
2118.9802	color_name: XLS[Black] DB[Zwart Nubuck & Zwart Leer] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2118K.9802	color_name: XLS[Black] DB[Zwart Nubuck & Zwart Leer]
2118.9899	color_basic: XLS[Black, Multi colour] DB[Black, Multi Colour] | color_name: XLS[Black/White] DB[Black/White ] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2118K.9899	color_basic: XLS[Black, Multi colour] DB[Black, Multi Colour] | color_name: XLS[Black/White] DB[Black/White ]
2118.9900	color_name: XLS[White] DB[Wit Leer] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2118K.9900	color_name: XLS[White] DB[Wit Leer]
2123.0126	color_basic: XLS[Fuchsia, Multi colour] DB[Pink] | color_name: XLS[Fuchsia Combi] DB[Fuchsia Leer & Roze Leer Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2123.1900	color_basic: XLS[brown, Multi colour] DB[Beige] | color_name: XLS[Camel Combi] DB[Camel Leer & Oranje Leer Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2123.5736	color_basic: XLS[Blue, Multi colour] DB[Blue] | color_name: XLS[Cobalti Combi] DB[Kobalt Leer & Rood Leer Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2123.9800	color_name: XLS[Black] DB[Zwart Leer Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2123.9807	color_basic: XLS[Black, Multi colour] DB[Black] | color_name: XLS[Black Yellow Combi] DB[Zwart Leer & Geel Leer Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2123.9826	color_basic: XLS[Black, Multi colour] DB[Black] | color_name: XLS[Black/Fuchsia Combi] DB[Zwart Leer & Wit Leer Combi] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2126.1537	info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2126.2000	color_name: XLS[Tan] DB[Cognac Leer] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2126K.2000	color_name: XLS[Tan] DB[Cognac Leer]
2126.5600	color_name: XLS[Dark Blue] DB[Blue Leather] | info: XLS[Cemented] DB[] | constructions: XLS[Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]] DB[AFO:[S,M,L] Rehabilitation:[2½,4½,6½,8½] Stability:[2½,4½,6½,8½] Reverse Lasted:[4½,6½]]
2126K.5600	color_name: XLS[Dark Blue] DB[Blue Leather]
